video_path,video_name,video_type,rt60,status
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00001/real.mp4,real.mp4,real,1.511,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00003/real.mp4,real.mp4,real,1.484,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00004/real.mp4,real.mp4,real,1.903,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00006/real.mp4,real.mp4,real,1.729,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00007/real.mp4,real.mp4,real,1.43,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00009/real.mp4,real.mp4,real,1.624,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00010/real.mp4,real.mp4,real,1.258,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00012/real.mp4,real.mp4,real,1.571,success
AVDeepfake1M_local/videos_subset_600/train/id00012/21Uxsk56VDQ/00014/real.mp4,real.mp4,real,1.301,success
AVDeepfake1M_local/videos_subset_600/train/id00012/2DLq_Kkc1r8/00017/real.mp4,real.mp4,real,1.648,success
AVDeepfake1M_local/videos_subset_600/train/id00012/2DLq_Kkc1r8/00018/real.mp4,real.mp4,real,1.102,success
AVDeepfake1M_local/videos_subset_600/train/id00012/C_FAL9gv8bo/00020/real.mp4,real.mp4,real,1.133,success
AVDeepfake1M_local/videos_subset_600/train/id00012/C_FAL9gv8bo/00023/real.mp4,real.mp4,real,1.529,success
AVDeepfake1M_local/videos_subset_600/train/id00012/C_FAL9gv8bo/00024/real.mp4,real.mp4,real,1.541,success
AVDeepfake1M_local/videos_subset_600/train/id00012/C_FAL9gv8bo/00030/real.mp4,real.mp4,real,0.806,success
AVDeepfake1M_local/videos_subset_600/train/id00012/Gf-KDRnkBw8/00033/real.mp4,real.mp4,real,2.355,success
AVDeepfake1M_local/videos_subset_600/train/id00012/Gf-KDRnkBw8/00034/real.mp4,real.mp4,real,1.781,success
AVDeepfake1M_local/videos_subset_600/train/id00012/Gf-KDRnkBw8/00035/real.mp4,real.mp4,real,1.504,success
